filename,source_type,mei_version,title,title_subordinate,composer_name,composer_auth,composer_auth_uri,composer_codedval,editors,encoding_date,rights,publisher,distributor,genre,encoding_application,work_title,movement_name,source_title,source_composer,source_editor,source_encoder,edition_version,encoding_annot,humdrum_id
Bach_BWV_0772.mei,musescore,5.1+basic,"Invention No. 1 in C major,  BWV 772",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:15,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0773.mei,musescore,5.1+basic,"Invention No. 2 in C minor, BWV 773",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:17,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0774.mei,musescore,5.1+basic,"Invention No. 3 in D major,  BWV 774",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:20,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0775.mei,musescore,5.1+basic,"Invention No. 4 in D minor, BWV 775",,"Bach, Johann Sebastian",,,,,2026-05-08T17:03:51,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0776.mei,musescore,5.1+basic,"Invention No. 5 in E-flat major, BWV 776",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:23,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0777.mei,musescore,5.1+basic,"Invention No. 6 in E major, BWV 777",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:26,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0778.mei,musescore,5.1+basic,"Invention No. 7 in E minor, BWV 778",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:29,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0779.mei,musescore,5.1+basic,"Invention No. 8 in F major, BWV 779",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:32,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0780.mei,musescore,5.1+basic,"Invention No. 9 in F minor, BWV 780",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:34,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0781.mei,musescore,5.1+basic,"Invention No. 10 in G major, BWV 781",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:37,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0782.mei,musescore,5.1+basic,"Invention No. 11 in G minor, BWV 782",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:40,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0783.mei,musescore,5.1+basic,"Invention No. 12 in A major, BWV 783",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:43,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0784.mei,musescore,5.1+basic,"Invention No. 13 in A minor, BWV 784",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:46,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0785.mei,musescore,5.1+basic,"Invention No. 14 in B-flat major, BWV 785",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:49,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0786.mei,musescore,5.1+basic,"Invention No. 15 in B minor, BWV 786",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:52,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
